target,描述,value,对国家统治影响性质,source,编组
机构设废,十一月， “罢功德使司，以所掌事归宣政院”，可能是泰定三年（1326）的政策没有很好的执行,3,正面,元文宗孛儿只斤·图帖睦尔,2
机构设废,西夏僧总统封国公冲卜卒，其弟监藏班臧卜袭职,2,中性,元文宗孛儿只斤·图帖睦尔,2
建皇家寺院,建大龙翔集庆寺（天界寺）,3,中性,元文宗孛儿只斤·图帖睦尔,2
寺院管理,天历二年（1329）八月“置隆祥总管府，秩正三品，总建大承天护圣寺工役”,2,中性,元文宗孛儿只斤·图帖睦尔,2
制度改革,“天下僧道有妻者，皆令为民”,3,正面,元文宗孛儿只斤·图帖睦尔,2
官方经营,闻蔚州广灵县地产银矿，文宗即令中书太禧院派人经营，而以其所得归大承天护圣寺（《元史·文宗纪》三）。,5,正面,元文宗孛儿只斤·图帖睦尔,2
任命帝师,,3,中性,元文宗孛儿只斤·图帖睦尔,2
机构设废,撤销行宣政院，另于全国设立广教总管府十六所，掌管各地僧尼事务。,5,中性,元文宗孛儿只斤·图帖睦尔,2
任命帝师,,2,中性,元文宗孛儿只斤·图帖睦尔,2
任命僧官,五月，封宣政使脱因为蓟国公,2,中性,元文宗孛儿只斤·图帖睦尔,2
机构设废,三月“己丑，复立功德使司”,2,中性,元文宗孛儿只斤·图帖睦尔,2
任命僧官,十月“宣政使阔里吉思为中书左丞”,3,中性,元文宗孛儿只斤·图帖睦尔,2
任命僧官,乙酉，以西僧加瓦藏卜、蘸八儿监藏并为乌思藏土蕃等处宣慰使都元帅。,3,正面,元顺帝孛儿只斤·妥懽帖睦尔,2
机构设废,罢广教总管府，复立行宣政院,3,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,伯颜“继领太禧宗禋院、中政院、宣政院、隆祥使司、宫相诸内府，总领蒙古、钦察、斡罗思诸卫亲军都指挥使”,3,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,十二月“命宣政使末吉以司徒就第”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,三月“以汪家奴为宣政院使，加金紫光禄大夫”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
机构设废,五月甲寅，“西番贼起，杀镇西王子党兀班。立行宣政院，以也先帖木儿为院使，往讨之”，西番事态比较严重时，才设立西藏行宣政院,4,正面,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,正月“以宣政院使不兰奚年七十致仕，授大司徒，给全俸终身”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,“累拜中书平章政事、大司徒、宣政院使”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
佛事活动,以中禅师被江南行宣政院举荐，于浙江舟山隆教禅寺开堂,2,正面,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,闰月，以脱脱领宣政院事,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,“拜光禄大夫、御史大夫，尽迁中外廉能之官置诸风宪，一时号称得人。迁宣政院使，出为甘肃行省平章政事”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,“十月迁宣政院使，明年拜江南行台御史大夫”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,七月以“韩加讷为宣政院使”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,八月以“河南行省平章政事月鲁不花为宣政院使”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
建皇家寺院,建清河大寿元忠国寺,3,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,升任中书平章政事,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命帝师,,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,二月壬戌， “以宣政院使笃怜帖木儿知经筵事”,1,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,任宣政院使,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,十二月丙申，以“宣政院使哈麻、永昌宣慰锁南班并为中书平章政事，进阶光禄大夫”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,以答儿麻监藏遥授陕西平章政事，实授行宣政院使，整治西番人民,3,正面,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,九月“宣政院使蛮子提调裕宗、英宗影堂祭祀”,1,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,“奏除宣政使，而以其弟雪为御史大夫，桑殊失所望”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,七月乙酉， “命右丞相搠思监领宣政院事”,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
朝廷礼遇僧人,以中禅师应浙江行省左丞相达识帖睦儿之请住径山兴圣万寿禅寺,1,正面,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,“又宣政院使脱欢，与之（引者按：朴不花）同恶相济，为国大蠹”,3,负面,元顺帝孛儿只斤·妥懽帖睦尔,2
任命帝师,,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
任命僧官,会皇太子抚军冀宁，承制拜朴赛因不花翰林学士承旨，迁集贤大学士，又为宣政院使，遂拜中书平章政事,2,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
建皇家寺院,建大觉海寺,3,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
支持战事,夏五月癸未，“福建行宣政院以废寺钱粮由海道送京师”,4,正面,元顺帝孛儿只斤·妥懽帖睦尔,2
支持战事,十二月庚午“大明兵由海道取福州，守臣平章政事曲出道，行宣政院朶耳死之”,4,正面,元顺帝孛儿只斤·妥懽帖睦尔,2
给田于寺,据大略统计，自世祖中统二年(1261)到至正七年(1347)，前后共给寺田三千二百八十六万一千亩(《续文献通考》卷六)。这些寺院土地的主管机构是太禧宗禋院。,15,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
民间私刻藏经,募刻了大藏经版一副，约六千卷，此即通称的普宁寺本。,10,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
官方校勘藏经,召集汉藏大德僧人学士等对勘汉藏两种大藏经的异同，编成《至元法宝勘同总录》十卷,15,中性,元顺帝孛儿只斤·妥懽帖睦尔,2
僧人恶行,太原路、大都路、江浙、福建、云南、四川、甘肃、陕西、河北、乌思藏、朵甘思、脱思麻等处驿站皆被影响，以至于驿站难以维系，还要靠朝廷依例接济，“就于宣政院所辖西番课程钱物内，斟酌增给……宣政院官暗普等言，前站重困，非增多赈济不可”,10,负面,元顺帝孛儿只斤·妥懽帖睦尔,2
